rank,uid,nickname,company,net_value,equity,net_profit,profit_rate,max_drawdown,credit_score,total_fee,option_profit,start_date,update_date,start_equity,source
18,38782,炒客1,创元期货,0.9287,125.98,-7674.0,-7.13,12.11,0.0,49.0,23300.0,2026-02-12,2026-02-24,16100.000000000002,niumoney
19,41707,湫兮如风,中衍期货,2.0818,138.57,41300.0,108.18,87.92,93.25,2956.62,23200.0,2026-01-05,2026-02-24,408.65,niumoney
20,42122,重来,宏源期货,0.991,229100.0,-71700.0,-0.9,20.16,77.26,1666.77,21000.0,2026-01-05,2026-02-24,78400.0,niumoney
21,39295,期魔传说,华闻期货,0.8557,345800.0,62800.0,-14.43,49.33,0.0,5103.05,17300.0,2026-01-06,2026-02-24,148600.0,niumoney
22,41051,交易似水,招金期货,0.3718,12200.0,-49500.0,-62.82,62.82,61.7,555.36,15300.0,2026-01-08,2026-02-13,58500.0,niumoney
23,37820,恩泽投资,新湖期货,0.8489,1158200.0,-208600.0,-15.11,39.95,20.64,13383.68,13600.000000000002,2026-01-06,2026-02-24,1379600.0,niumoney
24,40844,万昱,创元期货,0.9659,1097300.0,1543899.9999999998,-3.41,75.86,47.5,29533.72,13500.0,2026-01-05,2026-02-24,2945899.9999999995,niumoney
25,36848,乐丁量化CTA,金源期货,1.7999,3541300.0,2000900.0,79.99,10.78,87.4,59837.42,12200.0,2026-01-05,2026-02-25,2142200.0,niumoney
26,42114,止损侠,海通期货,1.3875,23721800.0,6624600.0,38.75,6.89,85.93,42124.67,9060.52,2026-01-05,2026-02-13,17009900.0,niumoney
27,36525,言道一二,恒泰期货,2.9398,19600.0,38200.0,193.98,4.12,97.87,461.66,8640.0,2026-01-05,2026-02-25,31.51,niumoney
28,41992,奇获稳健,广发期货,1.0298,5280300.0,152900.0,2.98,3.83,64.71,6135.64,8379.63,2026-01-05,2026-02-24,5145700.000000001,niumoney
29,38963,先亏为敬,徽商期货,0.0066,2930.04,-18000.0,-99.34,99.34,58.85,2143.48,7229.3,2026-01-05,2026-02-25,2900.73,niumoney
30,42321,白昼,东证期货,1.2743,579200.0,-384000.0,27.43,52.46,53.04,35348.88,7182.74,2026-01-07,2026-02-24,930600.0,niumoney
31,41789,凌云量化CTA,海证期货,1.0066,1527500.0,10000.0,0.66,13.47,55.25,6725.75,6404.4,2026-01-05,2026-02-24,1492000.0,niumoney
32,33856,牛钱进取9号,招商期货,0.9929,4680000.0,-33400.0,-0.71,5.45,49.85,18476.31,6263.61,2026-01-05,2026-02-25,4714900.0,niumoney
33,35703,善境投资吴洪涛,冠通期货,1.1336,3316000.0,-103500.0,13.36,47.25,52.16,92495.23,5969.61,2026-01-05,2026-02-13,2525600.0,niumoney
34,42003,AAA恩典满溢AAA,国元海勤,0.9088,570200.0,-54300.0,-9.12,29.26,30.1,1226.09,5926.14,2026-01-05,2026-02-24,629000.0,niumoney
35,40982,Insidebar,华鑫期货,2.3052,768.0,596800.0,130.52,75.84,79.22,2674.62,4585.0,2026-01-05,2026-02-24,9365.71,niumoney
36,41746,新的征程,西南期货,0.4968,4880.25,-10600.0,-50.32,59.27,64.76,373.71,4495.0,2026-01-06,2026-02-13,0.71,niumoney
37,42287,泉州蔡,建信期货,0.9046,2876000.0,-278400.0,-9.54,16.88,28.73,5915.08,4358.82,2026-01-06,2026-02-24,3002700.0,niumoney
